City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,remire-montjoly,4.9167,-52.2667,26.02,94,100,1.03,GF,1706669923
143,chaoyang,41.5703,120.4586,-10.12,53,15,5.6,CN,1706669923
144,pandaan,-7.6527,112.6875,28.77,68,20,1.43,ID,1706669923
145,cottage grove,44.8277,-92.9438,2.16,86,100,2.57,US,1706669923
146,sitka,57.0531,-135.33,2.94,56,100,2.57,US,1706669924
147,paciran,-6.8767,112.3761,29.15,70,49,2.45,ID,1706669924
148,arroio grande,-32.2375,-53.0869,17.17,94,0,2.27,BR,1706669924
149,romanovka,51.7443,42.7527,-5.2,98,99,1.78,RU,1706669924
150,tengrela,10.4869,-6.4097,21.33,20,30,2.29,CI,1706669925
151,port elizabeth,-33.918,25.5701,21.29,88,0,1.54,ZA,1706669925
152,salaqi,40.5414,110.5108,-7.68,65,78,1.41,CN,1706669925
153,puerto deseado,-47.7503,-65.8938,22.99,33,98,11.08,AR,1706669837
154,iqaluit,63.7506,-68.5145,-23.15,64,100,4.63,CA,1706669926
155,georgiyevka,43.0369,74.7114,-1.98,100,75,2.0,KZ,1706669926
156,anna regina,7.2644,-58.5077,25.82,87,15,3.09,GY,1706669926
157,poronaysk,49.2167,143.1167,-14.08,84,62,0.78,RU,1706669926
158,lingig,8.0389,126.4125,25.93,91,100,5.17,PH,1706669927
159,ruteng,-8.6136,120.4721,25.08,55,75,0.86,ID,1706669927
160,miles city,46.4083,-105.8406,8.54,66,0,4.63,US,1706669927
161,fort bragg,35.139,-79.006,8.91,74,100,2.06,US,1706669927
162,pariaman,-0.619,100.12,32.03,63,100,0.3,ID,1706669928
163,phang nga,8.4509,98.5298,29.02,54,78,2.45,TH,1706669928
164,aden,12.7794,45.0367,24.99,81,100,3.8,YE,1706669928
165,adapazari,40.7806,30.4033,2.64,89,55,0.64,TR,1706669929
166,nhamunda,-2.1861,-56.7131,23.78,98,100,1.2,BR,1706669929
167,korla,41.7597,86.1469,-4.61,68,83,1.46,CN,1706669929
168,sikonge,-5.6333,32.7667,17.6,95,100,1.48,TZ,1706669929
169,college,64.8569,-147.8028,-25.82,58,75,2.06,US,1706669930
170,sao miguel do araguaia,-13.275,-50.1628,22.64,94,79,1.88,BR,1706669830
171,hammerfest,70.6634,23.6821,3.25,60,20,24.18,NO,1706669930
172,boa vista,2.8197,-60.6733,26.99,74,0,1.54,BR,1706669913
173,sidareja,-7.4846,108.7923,27.42,83,91,1.83,ID,1706669931
174,bodo,67.28,14.405,2.19,95,100,7.2,NO,1706669931
175,nemuro,43.3236,145.575,-1.52,69,100,3.75,JP,1706669931
176,polyarnyye zori,67.3661,32.4981,-2.79,78,91,5.77,RU,1706669931
177,longyearbyen,78.2186,15.6401,-5.09,63,75,5.66,SJ,1706669932
178,soller,39.7662,2.7152,11.59,87,99,0.35,ES,1706669932
179,at taj,24.2049,23.2857,7.57,54,1,3.38,LY,1706669932
180,port-vila,-17.7338,168.3219,28.78,74,75,4.12,VU,1706669932
181,narvik,68.4384,17.4272,2.99,99,100,3.78,NO,1706669933
